AAA		Ansett Australia
AAB		Abelag Aviation
AAC		Army Air Corps
AAD		Aero Aviation Centre Ltd.
AAF	ZI	Aigle Azur
AAG	JI	Armenian Airlines
AAH	KH	Aloha Air Cargo
AAI		Air Aurora
AAJ		Air Alma
AAK		Alaska Island Air
AAL	AA	American Airlines
AAM		Aviation Management Corporation
AAO		Atlantis Airlines (USA)
AAP		Aerovista Airlines
AAQ		Copterline
AAR	OZ	Asiana Airlines
AAS	4K	Askari Aviation
AAU		Australia Asia Airlines
AAV		Astro Air International
AAW	8U	Afriqiyah Airways
AAY	G4	Allegiant Air
AAZ		Angus Aviation
ABA		Artem-Avia
ABB		African Business and Transportations
ABD	CC	Air Atlanta Icelandic
ABE	K5	Aban Air
ABF		Aerial Oy
ABG	RL	Royal Flight
ABH		Hokuriki-Koukuu Company
ABJ		Abaeté Linhas Aéreas
ABK		Alberta Citylink
ABL	BX	Air Busan
ABM		Aero Albatros
ABN		Air Fret Senegal
ABO		APSA Colombia
ABP		Aba Air
ABQ	ED	Airblue
ABR	AG	ASL Airlines Ireland
ABS	9T	Transwest Air
ABT		Air Brousse
ABU		Aerovias Bueno
ABV	04	Antrak Air
ABW	RU	AirBridgeCargo
ABX	GB	ABX Air
ABY	G9	Air Arabia
ABZ		ATA Brasil
ACA	AC	Air Canada
ACC		Avcard Services
ACD		Academy Airlines
ACE		Race Cargo Airlines
ACF		Centro de Formacion Aeronautica de Canarias
ACG		Air Partner
ACI	SB	Air Caledonie International
ACK	DV	Nantucket Airlines
ACL	9X	Itali Airlines
ACM		Air Caledonia
ACN		Central American Airlines
ACO		Aero Comondu
ACP	8V	Astral Aviation
ACQ	N6	Nuevo Continente
ACR		Aerocenter, Escuela de Formacion de Pioltos Privad
ACS		Air Cess
ACU		Air Cargo Transportation System
ACV		Air Charter Service
ACW		Royal Air Force
ACX		Air Charters
ACY		Atlas Cargo Lines
ADA		Airservices Australia
ADB		Antonov Airlines
ADC		Air Atlantic Dominicana
ADD		Advanced Air Co.
ADG		Aerea Flying Training Organization
ADH	AP	Air One
ADI		Audeli Air
ADJ		Abicar
ADK	Z7	ADC Airlines
ADL		Aero Dynamics
ADM		Aerolineas Dominicanas
ADN		Aerodienst GmbH
ADO	HD	Air Do
ADP		Aerodiplomatic
ADQ		Avion Taxi
ADR	JP	Adria Airways
ADS		Aviones de Sonora
ADT		Air Dorval
ADU		Airdeal Oy
ADV		Advance Air Charters
ADW		Air Andaman
ADX		Anderson Aviation
ADY		Aerodyne
AEA	UX	Air Europa
AEB		Aero Benin
AEC		Aerocesar, Aerovias Del Cesar
AED		Aerotrans Airlines
AEE	A3	Aegean Airlines
AEG		Aerofumigaciones Sam
AEH	RX	Aviaexpress
AEI		Aeroexpreso Interamericano
AEJ		Air Express
AEK		Aerocon
AEL	PE	Air Europe
AEM		Aero Madrid
AEN	3S	Aeroland Airways
AEO		Aeroservicios Ejecutivos Del Occidente
AEP		Aerotec
AEQ		Air Express
AER	KO	Alaska Central Express
AET		Aeronautical Radio of Thailand
AEU	5W	Astraeus
AEV		Aeroventas
AEW	VV	Aerosvit Airlines
AEX		Airway Express
AEY		Air Italy
AEZ		Aerial Transit Company
AFA		Alfa Air
AFC		African West Air
AFD		Panorama Flight Service
AFE		Airfast Indonesia
AFG	FG	Ariana Afghan Airlines
AFH		Air Fecteau
AFI		Africaone
AFJ		Alliance
AFK		Africa Air Links
AFL	SU	Aeroflot
AFO		Aero Empresa Mexicana
AFP		Portuguese Air Force
AFQ		Alba Servizi Aerotrasporti
AFR	AF	Air France
AFS		Air Data
AFU	Q9	Afrinat International Airlines
AFV		Air Afrique Vacancies
AFW		Afrique Regional Airways
AFX		Airfreight Express
AFY		Africa Chartered Services
AFZ		Africa Freight Services
AGA		Aeronaves Del Centro
AGC	VC	Air Australia
AGE		Servicios Aereos de Los Angeles
AGF		Atlantic Gulf Airlines
AGG		Algoma Airways
AGH		Altagna
AGM		Air Guam
AGN	GN	Air Gabon
AGP		AERFI Group
AGQ		Aerogala
AGR		United States Department Of Agriculture
AGT	1A	Amadeus Global Travel Distribution
AGU		Angara Airlines
AGV	7T	Air Glaciers
AGW		Aero Gambia
AGX	JJ	Aviogenex
AGY		Aero Flight Service
AGZ		Agrolet-Mci
